"country","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Lesotho",2322217,2466330,2607957,2752561,2902197,3054502,3203470,3343817,3469806,3578718,3670731,3746382,3806349,3851474,3882495,3900158,3904989
"Liberia",5103853,5770096,6495377,7271261,8087611,8934809,9804031,10689379,11581381,12471642,13348829,14202237,15022009,15797873,16522941,17190605,17800502
"Libya",6662173,7031832,7342346,7603743,7825251,8003680,8123669,8175198,8163080,8106794,8030639,7948544,7865858,7776465,7674391,7557720,7431453
"Liechtenstein",38645,39844,40918,41770,42378,42785,43096,43342,43571,43831,44126,44471,44841,45205,45542,45821,46075
"Lithuania",2852478,2788010,2717731,2638998,2557900,2480144,2406723,2338008,2273154,2211262,2152771,2098868,2050228,2006946,1968942,1935408,1904002
"Luxembourg",603944,641757,674864,707373,738428,767807,795916,822022,846454,869888,892557,914128,934327,953584,971889,989000,1004737
"Macedonia, FYR",2088035,2088336,2076350,2051170,2015548,1974422,1931001,1885702,1836928,1784308,1729015,1674038,1622647,1576657,1536438,1500453,1467059
"Madagascar",27690798,31500077,35591943,39891388,44367656,49012988,53802574,58686533,63594676,68473226,73274376,77946072,82452185,86742010,90776882,94539567,98001584
"Malawi",20283691,23277224,26578247,30109857,33836707,37719155,41705002,45752245,49799238,53784568,57643148,61315271,64759965,67945464,70837984,73429175,75710602
"Malaysia",32869323,34949758,36814968,38380670,39668262,40760928,41729217,42560484,43194485,43580750,43697589,43580736,43307700,42958599,42585801,42203736,41799363
"Maldives",458909,489695,511766,529943,546961,563119,576435,584547,586619,583247,575584,564416,550485,535053,520186,507423,496493
"Mali",20284180,23475747,27057112,30982972,35173773,39542118,44020171,48575874,53153630,57707270,62162821,66436958,70466814,74189589,77563590,80574641,83207100
"Malta",434363,439036,439963,436695,431149,424966,419247,413968,408486,402049,394244,385454,376678,368742,362084,356697,352199
"Marshall Islands",53251,53702,55634,58586,61858,64457,65868,66575,67496,69108,71173,72987,73993,74087,73551,72757,71925
"Mauritania",4783767,5416711,6076668,6766329,7482408,8218228,8965000,9713321,10457086,11190525,11907842,12602931,13269949,13902661,14489677,15029498,15518953
"Mauritius",1274114,1283273,1286934,1282701,1269200,1247598,1221030,1193212,1165670,1138022,1109336,1078966,1047260,1015508,984928,956636,931656
"Mexico",133870027,141131503,147540127,153060606,157689665,161436237,164279302,166206147,167182207,167249641,166496007,165059416,163097669,160659839,157825851,154729398,151491044
"Micronesia, Fed. Sts.",107774,112283,117430,121579,124494,126546,128193,129688,130594,130377,128818,126216,123130,120018,116975,113889,110629
"Moldova",4017687,3943322,3843941,3721155,3583993,3440601,3293157,3141130,2982826,2817998,2651343,2490736,2346499,2223664,2120821,2032614,1952909
"Monaco",39297,40294,41362,42462,43487,44513,45685,46949,48281,49682,51198,52788,54407,55993,57474,58827,60055
"Mongolia",3209404,3402258,3560959,3698058,3827004,3953993,4075382,4176784,4250134,4301957,4344680,4387607,4434048,4479504,4515683,4536345,4540768
"Montenegro",629397,628109,624702,618895,610465,599832,587899,575466,562639,549098,534678,519659,504507,489588,475264,461628,448946
"Morocco",37070718,39100641,40873592,42407174,43713705,44798428,45659886,46301091,46709789,46886622,46842859,46606862,46225536,45740112,45174846,44536323,43840152
"Mozambique",32309195,37116198,42438703,48241764,54443113,60974587,67774943,74811033,82012248,89284091,96544446,103698559,110667324,117360436,123688395,129613774,135046350
"Myanmar",54808276,57001494,58915869,60430924,61489087,62104926,62358925,62333901,62077306,61608616,60928109,60060141,59040660,57936924,56824585,55755264,54742635
"Namibia",2696537,2970214,3245659,3520740,3796319,4071137,4339498,4593670,4827642,5038818,5225301,5386772,5523643,5635746,5724364,5790355,5834532
"Nauru",11227,11326,11454,11527,11522,11461,11337,11176,10979,10787,10578,10373,10160,9956,9742,9529,9321
"Nepal",30260244,31813598,33167612,34246881,35068441,35685878,36106578,36328047,36321446,36073652,35590988,34882203,33976255,32907932,31731982,30514805,29317902
"Netherlands",17181248,17414354,17594086,17694135,17700286,17629558,17517575,17388808,17262566,17156907,17074532,16999718,16911331,16806546,16695179,16586218,16479579
"New Zealand",4834420,5032308,5213103,5369785,5502172,5614865,5711484,5793036,5863519,5928830,5991081,6046587,6088163,6111497,6122565,6128438,6130830
"Nicaragua",6416568,6732197,7046293,7318402,7548564,7734905,7875742,7972045,8021897,8023752,7977292,7885667,7756639,7599929,7425055,7239517,7048824
"Niger",24074693,29078590,34993540,41875504,49754920,58628306,68453727,79164493,90655175,102792433,115399229,128363138,141453500,154536803,167455204,180052321,192186560
"Nigeria",206152701,233691888,264067527,297323173,333172092,371119359,410637868,451310617,492643358,534359116,576062295,617054577,656683661,694557237,730325352,763551079,793942316
"Norway",5449693,5707475,5959215,6193139,6406959,6607166,6801515,6983785,7152892,7310918,7460802,7602307,7730304,7842862,7942770,8032859,8112107
"Oman",5149700,5572149,5897473,6128590,6343520,6549888,6756570,6923098,7036547,7095546,7107279,7079876,7019275,6930314,6820026,6698449,6572116
"Pakistan",208362334,226767952,244248371,261093438,277494590,293003264,306940443,318887652,328858580,337005859,343515596,348468054,351849890,353751829,354296824,353607849,351942931
"Palau",22442,23635,24760,25715,26463,27057,27580,28064,28493,28812,28998,29038,28999,28967,28903,28772,28634
"Panama",4289330,4596066,4884311,5151312,5399082,5625556,5827106,6000882,6146712,6266925,6363384,6438571,6494368,6531589,6550992,6553466,6539833
"Papua New Guinea",8755675,9614314,10486891,11361744,12224302,13064330,13871403,14641522,15366891,16040116,16655556,17204907,17685632,18099425,18446759,18732528,18959443
"Paraguay",7066330,7473078,7844904,8175687,8460299,8700127,8897182,9052053,9160878,9218838,9225410,9185595,9107370,9003176,8884106,8754966,8617215
"Peru",33312178,35130736,36806784,38298817,39606088,40719548,41620307,42301832,42772079,43041221,43124186,43037103,42794882,42426987,41953070,41401846,40783450
"Philippines",109703396,117664680,125372282,132667616,139447689,145664722,151293435,156342005,160722645,164427119,167443451,169786052,171478014,172583042,173187896,173336706,173059809
"Poland",37942231,37373183,36615500,35691755,34654579,33544891,32390037,31204241,29980897,28694887,27360434,26035142,24799549,23708615,22773788,21965753,21241891
"Portugal",10218413,10047807,9877056,9696318,9495169,9262006,8994594,8696394,8384349,8076508,7789338,7534799,7316447,7124057,6943589,6768628,6603913
"Qatar",2791807,3028568,3231911,3402497,3536617,3660625,3773285,3869369,3946928,4005931,4047701,4072091,4078114,4066076,4040192,4007024,3971422
"Romania",19388362,18926996,18464237,17973608,17463110,16935314,16397352,15854854,15307163,14767159,14260150,13802005,13389792,13019887,12683171,12374601,12082408
"Russia",143786842,142606884,140543418,138076421,135836501,134127418,132730511,131309575,129695944,127958458,126393174,125263180,124675359,124520369,124512823,124381965,124012605
"Rwanda",13087173,14543965,16024252,17542746,19065658,20529380,21886077,23126854,24254197,25256531,26122284,26833816,27390322,27796802,28059365,28184314,28184816
"St. Kitts and Nevis",56813,58917,60603,61868,62737,63239,63386,63191,62736,62050,61219,60292,59346,58362,57367,56352,55328
"St. Lucia",181203,184321,186369,187162,186636,184952,182279,178766,174462,169482,163936,157939,151626,145220,139003,133202,128057
"St. Vincent and the Grenadines",110757,111643,112106,112219,112012,111053,109406,107240,104664,101783,98616,95215,91680,88039,84391,80803,77302
"Samoa",200117,206018,212095,221098,229926,237530,243371,248234,252885,257690,262390,266324,269009,270294,270403,269591,268080
"San Marino",33809,34327,34688,34902,34965,34895,34704,34410,34088,33741,33396,33081,32802,32599,32434,32313,32233
"Sao Tome and Principe",218011,242282,268471,295864,323814,351902,379749,407332,434349,460731,486340,510907,533997,555342,574656,591958,607347
"Saudi Arabia",34709640,37290305,39480349,41317419,42777611,44026516,45056349,45790676,46184561,46272457,46160345,45951118,45698635,45406141,45043753,44589081,44028699
"Senegal",17200154,19576780,22123230,24861284,27785159,30859185,34030620,37255131,40506694,43774198,47045071,50289008,53471306,56551650,59482235,62240467,64806263
"Serbia",8703942,8541293,8355445,8143972,7912824,7676522,7447023,7226282,7006907,6785108,6563751,6348612,6144372,5954459,5778633,5615485,5464284
"Seychelles",96112,97414,98010,98241,98185,97721,96643,95017,93076,91116,89303,87677,86205,84795,83397,81926,80309
"Sierra Leone",8046931,8873984,9719531,10567515,11403087,12208952,12971626,13681848,14325016,14893871,15380332,15778555,16083420,16300020,16435233,16495859,16491439
"Singapore",5935053,6157267,6342470,6479855,6563055,6592118,6574759,6517110,6432261,6329449,6214806,6091550,5965131,5835720,5703763,5567391,5431922
"Slovak Republic",5451400,5437850,5387458,5300586,5192521,5078835,4964542,4846431,4718343,4577326,4429950,4288963,4165691,4063989,3979425,3904738,3833804
"Slovenia",2082055,2076082,2059211,2035168,2007340,1976540,1941851,1902579,1860175,1817165,1776783,1742008,1714899,1695839,1682873,1672622,1661804
"Solomon Islands",647297,708678,772545,838538,905073,970329,1032777,1092681,1149835,1204437,1255881,1303349,1345769,1382333,1412914,1437975,1457877
"Somalia",16105174,18665849,21535019,24699613,28145899,31869275,35851792,40049539,44409572,48875776,53406176,57953019,62459838,66868091,71126692,75171009,78971914
"South Africa",58721229,61790036,64465553,66880284,69076390,71045890,72754583,74195134,75366857,76287421,76962552,77391684,77593422,77582110,77379500,77008161,76487698
"Spain",46459219,46306820,46115125,45860815,45538502,45079683,44394558,43437294,42272217,41025211,39842942,38858203,38148865,37666643,37273831,36859888,36378242
"Sri Lanka",21084042,21349942,21474701,21491895,21397716,21165080,20792352,20325944,19804831,19255946,18693181,18113572,17514368,16899516,16275814,15650838,15035749
"Sudan",43541203,48999711,54842478,60996110,67357464,73834917,80385607,86991221,93616439,100199791,106641644,112828238,118689326,124210435,129394703,134208984,138648073
"Suriname",577752,599095,616728,630385,640018,645908,648399,648327,646101,641991,636137,628607,619707,609652,598903,587774,576392
"Swaziland",1439295,1555332,1666435,1774685,1881370,1984608,2081036,2168275,2244414,2308867,2361476,2402388,2432127,2451561,2461834,2463545,2457301
"Sweden",10121686,10435342,10712041,10942470,11157892,11384781,11626301,11857677,12066397,12257434,12444178,12629266,12802156,12957860,13106791,13263151,13415547
"Switzerland",8670535,8954578,9203908,9412115,9586938,9741501,9879901,9985870,10063505,10129335,10194761,10254046,10302232,10345817,10392925,10441021,10482416
"Syria",18924442,23410906,26608489,28885224,30798944,32524870,34021051,35301808,36393430,37302609,38018375,38528286,38827508,38918013,38814874,38544671,38166870
"Taiwan",23817905,24045238,24150708,24100534,23830334,23359293,22770537,22127286,21464033,20786440,20086382,19371065,18683773,18085164,17596320,17201216,16886866
"Tajikistan",9475246,10360358,11194411,12022921,12876073,13727805,14521291,15233335,15873917,16466436,17015383,17506400,17921621,18262846,18541062,18764776,18928234
"Tanzania",62774619,72681070,83702053,95861531,109059518,123173856,138081621,153731223,170043234,186861214,204040056,221357454,238624499,255674875,272357618,288474581,303831815
"Thailand",69410868,69685486,69626212,69199658,68338474,67045545,65372345,63432268,61386890,59368943,57437935,55618214,53874002,52179082,50530584,48964988,47535689
"Timor-Leste",1381400,1536341,1704105,1879943,2059551,2240424,2420760,2602839,2784665,2963441,3134185,3292268,3435668,3562502,3673506,3768649,3847760
"Togo",8384291,9411356,10507241,11663343,12860688,14078714,15298154,16513670,17712220,18887516,20023795,21104102,22113506,23039006,23868799,24604759,25246548
"Tonga",111037,115793,121055,126596,131906,136387,139926,143068,146232,149465,152465,154888,156528,157486,157986,158212,158212
"Trinidad and Tobago",1377729,1380806,1373659,1360624,1343469,1322051,1295069,1262854,1227120,1190249,1154430,1120643,1089510,1060676,1033537,1007607,982905
"Tunisia",11903136,12431567,12841615,13161033,13434541,13681104,13883996,14015357,14063520,14043260,13980513,13897526,13805379,13706996,13598730,13471816,13321053
"Turkey",83835750,86124851,88416609,90915264,92980818,94561424,95626879,96182060,96221010,95792894,94969861,93848004,92500581,90987823,89329723,87575504,85776302
"Turkmenistan",6031195,6430544,6767418,7073504,7371176,7650906,7887617,8065655,8191235,8281000,8351772,8405779,8438092,8444898,8426093,8383789,8323978
"Tuvalu",11499,12084,12699,13264,13742,14158,14580,15051,15519,15953,16309,16589,16848,17074,17283,17456,17579
"Uganda",47187703,55085460,63842360,73386500,83604961,94406655,105698201,117362214,129232610,141152605,152984654,164580107,175780629,186426398,196377860,205526043,213758214
"Ukraine",43579234,42452647,41200374,39896340,38658013,37512851,36415702,35315013,34190485,33061130,31992330,31056617,30287940,29673481,29160406,28678792,28185563
"United Arab Emirates",9813170,10435287,11054579,11642335,12207333,12721861,13163548,13536292,13850931,14118248,14342412,14523728,14658580,14745503,14788066,14795228,14776335
"United Kingdom",67334208,69074025,70578614,71897215,73125233,74301029,75381137,76271777,76971438,77589761,78211698,78818439,79360698,79827235,80249247,80641838,80975491
"United States",331431534,343255846,354711670,365033872,374068752,382058853,389591663,397018031,404562225,412054508,419161631,425493571,430964445,435665821,439872947,443835150,447483156
"Uruguay",3494387,3548938,3594299,3628564,3650962,3662036,3662437,3653202,3634283,3605651,3567823,3521998,3469915,3413165,3352304,3290405,3229220
"Uzbekistan",33235825,35146617,36712267,38059262,39246465,40238337,40950366,41358196,41497995,41434391,41220568,40881556,40442426,39929678,39366925,38770742,38142231
"Vanuatu",293934,323766,353974,384535,415081,445242,474593,502792,529615,554793,578204,599616,618990,636294,651432,664249,674676
"Venezuela",33172392,35040206,36749904,38265561,39578762,40685814,41584988,42290397,42812908,43165379,43356576,43387097,43262818,43004034,42633778,42173762,41642146
"Palestine",5322629,6022270,6739073,7467678,8208074,8957046,9704205,10436636,11140803,11810055,12437518,13019365,13550011,14026590,14447911,14811242,15114548
"Vietnam",98360145,102763511,106283637,108988478,111229112,113144909,114629852,115517962,115727991,115322545,114496277,113447782,112290570,111079345,109875575,108722517,107645705
"Yemen",30245305,33560644,36815286,39962096,42986334,45791086,48304040,50438268,52150388,53433907,54320079,54854450,55086108,55042834,54750720,54237944,53535658
"Zambia",18679273,21593825,24859376,28441399,32326616,36516657,41000822,45763655,50751286,55936138,61285791,66770853,72345813,77948303,83524920,89027867,94409602
"Zimbabwe",17680465,19571154,21526861,23556026,25625981,27678330,29658750,31516725,33226222,34774981,36164172,37386604,38425112,39274605,39930170,40397615,40687107
"South Sudan",13610007,15395477,17254367,19182891,21189205,23257015,25366221,27488849,29590035,31640614,33613665,35488178,37245862,38866972,40334627,41642882,42794448
